X,Y,OBJECTID,siteID,siteName,radarType,antennaElevation
-98.413045999685508,45.455833000288344,1,KABR,ABERDEEN,NEXRAD,Unknown
-106.823880000343493,35.149722000063619,2,KABX,ALBUQUERQUE,NEXRAD,Unknown
-77.007491000111415,36.983889000171636,3,KAKQ,NORFOLK,NEXRAD,Unknown
-101.709268999675842,35.233333000076009,4,KAMA,AMARILLO,NEXRAD,Unknown
-80.413048000044341,25.610556000024879,5,KAMX,MIAMI,NEXRAD,Unknown
-84.719522999918894,44.906350000312621,6,KAPX,NCL MICHIGAN,NEXRAD,Unknown
-91.191101000018151,43.822777999779277,7,KARX,LA CROSSE,NEXRAD,Unknown
-122.495684000415508,48.194610999704508,8,KATX,SEATTLE,NEXRAD,Unknown
-121.631657999985634,39.496110999856121,9,KBBX,BEALE AFB,NEXRAD,Unknown
-75.984712999703248,42.199693999875613,10,KBGM,BINGHAMTON,NEXRAD,Unknown
-124.292158000385342,40.498333000263614,11,KBHX,EUREKA (BUNKER HILL),NEXRAD,Unknown
-100.760268000415223,46.770832999919463,12,KBIS,BISMARCK,NEXRAD,Unknown
-108.606795999919697,45.853777999786594,13,KBLX,BILLINGS,NEXRAD,Unknown
-86.769712999654246,33.171943999930193,14,KBMX,BIRMINGHAM,NEXRAD,Unknown
-71.1368510003865,41.955777999676179,15,KBOX,BOSTON,NEXRAD,Unknown
-97.418603000430537,25.915556000081398,16,KBRO,BROWNSVILLE,NEXRAD,Unknown
-78.736934999792666,42.948610999822264,17,KBUF,BUFFALO,NEXRAD,Unknown
-81.703324999844256,24.596943999597684,18,KBYX,KEY WEST,NEXRAD,Unknown
-81.118601999980029,33.948611000350382,19,KCAE,COLUMBIA,NEXRAD,Unknown
-67.806407000346212,46.039166999864875,20,KCBW,CARIBOU,NEXRAD,Unknown
-116.23602300004282,43.490216999930148,21,KCBX,BOISE,NEXRAD,Unknown
-78.003880000003448,40.923055999811588,22,KCCX,STATE COLLEGE,NEXRAD,Unknown
-81.859991000341736,41.41305599967697,23,KCLE,CLEVELAND,NEXRAD,Unknown
-81.04218600005602,32.655527999739263,24,KCLX,"CHARLESTON, SC",NEXRAD,Unknown
-97.459990999667411,35.23833300007292,25,KCRI,ROC FAA REDUNDANT (RDA 1),NEXRAD,Unknown
-97.51082499971244,27.783888999853602,26,KCRP,CORPUS CHRISTI,NEXRAD,Unknown
-73.166379000290476,44.511110999757939,27,KCXX,BURLINGTON,NEXRAD,Unknown
-104.806102000288433,41.151943999856627,28,KCYS,CHEYENNE,NEXRAD,Unknown
-121.677823999878186,38.501111000333772,29,KDAX,SACRAMENTO,NEXRAD,Unknown
-99.968880000234719,37.760833000285565,30,KDDC,DODGE CITY,NEXRAD,Unknown
-100.280269999892312,29.272499999989794,31,KDFX,LAUGHLIN AFB,NEXRAD,Unknown
-89.984435999641434,32.280000000002993,32,KDGX,"JACKSON/BRANDON, MS",NEXRAD,Unknown
-74.410712999780614,39.946944000200297,33,KDIX,PHILADELPHIA,NEXRAD,Unknown
-92.209711999690924,46.836943999877384,34,KDLH,DULUTH,NEXRAD,Unknown
-93.722851999700481,41.73111100024186,35,KDMX,DES MOINES,NEXRAD,Unknown
-75.439991000277203,38.825555999650561,36,KDOX,DOVER AFB,NEXRAD,Unknown
-83.471657999727981,42.700000000098584,37,KDTX,DETROIT,NEXRAD,Unknown
-90.580823999864037,41.611667000115531,38,KDVN,QUAD CITIES,NEXRAD,Unknown
-99.254159000048404,32.538333000167157,39,KDYX,DYESS AFB,NEXRAD,Unknown
-94.26446300034695,38.810250000272745,40,KEAX,PLEASANT HILL,NEXRAD,Unknown
-110.630269999799069,31.893611000129582,41,KEMX,TUCSON,NEXRAD,Unknown
-74.064074000401249,42.586556000261737,42,KENX,ALBANY,NEXRAD,Unknown
-85.45938099974525,31.460556000161954,43,KEOX,FT RUCKER,NEXRAD,Unknown
-106.697991999957082,31.873055999946132,44,KEPZ,EL PASO,NEXRAD,Unknown
-114.891381000395398,35.701110999769718,45,KESX,LAS VEGAS,NEXRAD,Unknown
-85.921659000060259,30.565033000250843,46,KEVX,EGLIN AFB,NEXRAD,Unknown
-98.028602999676878,29.704056000061133,47,KEWX,AUSTIN/SAN ANTONIO,NEXRAD,Unknown
-117.560741000000732,35.097777999705798,48,KEYX,EDWARDS AFB,NEXRAD,Unknown
-80.274157999831218,37.024166999688724,49,KFCX,ROANOKE,NEXRAD,Unknown
-98.976659000004702,34.362194000128618,50,KFDR,ALTUS AFB,NEXRAD,Unknown
-103.618881000100515,34.634166999966972,51,KFDX,CANNON AFB,NEXRAD,Unknown
-84.565824999882466,33.363333000331906,52,KFFC,ATLANTA,NEXRAD,Unknown
-96.728879999967091,43.587778000144631,53,KFSD,SIOUX FALLS,NEXRAD,Unknown
-111.198434999919783,34.574333000049087,54,KFSX,FLAGSTAFF (RDA 1),NEXRAD,Unknown
-104.545796999847752,39.78663900030849,55,KFTG,DENVER,NEXRAD,Unknown
-97.303130999899466,32.572777999984865,56,KFWS,DALLAS/FT WORTH,NEXRAD,Unknown
-106.624683000411309,48.206360999851356,57,KGGW,GLASGOW,NEXRAD,Unknown
-108.213752000273189,39.062221999810596,58,KGJX,GRAND JUNCTION (RDA 1),NEXRAD,Unknown
-101.700268999829817,39.366943999777419,59,KGLD,GOODLAND,NEXRAD,Unknown
-88.111101000406961,44.498633000035539,60,KGRB,GREEN BAY,NEXRAD,Unknown
-97.382769999654343,30.721667000221238,61,KGRK,FT HOOD,NEXRAD,Unknown
-85.544880000254281,42.893889000033759,62,KGRR,GRAND RAPIDS,NEXRAD,Unknown
-82.219824999891642,34.883306000012425,63,KGSP,GREER,NEXRAD,Unknown
-88.329185999960927,33.89691699989622,64,KGWX,COLUMBUS AFB,NEXRAD,Unknown
-70.256350999878762,43.891306000274049,65,KGYX,"PORTLAND, ME",NEXRAD,Unknown
-106.120023999551108,33.076999999823606,66,KHDX,HOLLOMAN AFB,NEXRAD,Unknown
-95.07888099987197,29.471943999874,67,KHGX,HOUSTON,NEXRAD,Unknown
-119.632129999867885,36.31416700033585,68,KHNX,SAN JOAQUIN VALY,NEXRAD,Unknown
-87.284990999861066,36.73666699999054,69,KHPX,FT CAMPBELL,NEXRAD,Unknown
-86.083602999907328,34.930556000015059,70,KHTX,NORTHEAST ALABAMA,NEXRAD,Unknown
-97.443047000134541,37.654443999778138,71,KICT,WICHITA,NEXRAD,Unknown
-112.862213000341541,37.591050000354137,72,KICX,CEDAR CITY (RDA 1),NEXRAD,Unknown
-83.821657999928803,39.420277999709079,73,KILN,CINCINNATI,NEXRAD,Unknown
-89.336783000276881,40.150499999761259,74,KILX,LINCOLN,NEXRAD,Unknown
-86.280269000119773,39.707499999666652,75,KIND,INDIANAPOLIS,NEXRAD,Unknown
-95.564129999980238,36.174999999701605,76,KINX,TULSA,NEXRAD,Unknown
-111.669991999740077,33.289166999681164,77,KIWA,PHOENIX,NEXRAD,Unknown
-85.699990999926982,41.358611000189164,78,KIWX,NORTHERN INDIANA,NEXRAD,Unknown
-81.701892000116487,30.484633000230641,79,KJAX,JACKSONVILLE,NEXRAD,Unknown
-83.351102999841032,32.675000000203724,80,KJGX,ROBINS AFB,NEXRAD,Unknown
-83.313047000214979,37.59083300002964,81,KJKL,"JACKSON, KY",NEXRAD,Unknown
-101.814158999771905,33.654138999726889,82,KLBB,LUBBOCK,NEXRAD,Unknown
-93.215881000301977,30.125305999961842,83,KLCH,LAKE CHARLES,NEXRAD,Unknown
-89.82540900020183,30.336667000351969,84,KLIX,SLIDELL,NEXRAD,Unknown
-100.576212000392289,41.957943999825126,85,KLNX,NORTH PLATTE,NEXRAD,Unknown
-88.084434999881367,41.604444000279017,86,KLOT,CHICAGO,NEXRAD,Unknown
-116.802768999781165,40.739721999903438,87,KLRX,ELKO (RDA 1),NEXRAD,Unknown
-90.682768999963571,38.698889000102277,88,KLSX,ST LOUIS,NEXRAD,Unknown
-78.42915899977821,33.989166999664683,89,KLTX,WILMINGTON,NEXRAD,Unknown
-85.943880000016094,37.975277999811176,90,KLVX,LOUISVILLE,NEXRAD,Unknown
-92.261935999805999,34.836388999666958,91,KLZK,LITTLE ROCK,NEXRAD,Unknown
-102.189242000084391,31.9434609999009,92,KMAF,MIDLAND/ODESSA,NEXRAD,Unknown
-122.717351999650461,42.081110999876799,93,KMAX,MEDFORD (RDA 1),NEXRAD,Unknown
-100.864432999889871,48.392499999742334,94,KMBX,MINOT AFB,NEXRAD,Unknown
-76.876380999553604,34.775832999644834,95,KMHX,MOREHEAD CITY,NEXRAD,Unknown
-88.550546000122637,42.96777799992352,96,KMKX,MILWAUKEE,NEXRAD,Unknown
-80.654435999652591,28.113056000130076,97,KMLB,MELBOURNE,NEXRAD,Unknown
-88.239713999783575,30.679443999800544,98,KMOB,MOBILE,NEXRAD,Unknown
-93.56551800027961,44.848888999949743,99,KMPX,MINNEAPOLIS,NEXRAD,Unknown
-87.548323000314042,46.531110999797171,100,KMQT,MARQUETTE,NEXRAD,Unknown
-83.40193500023625,36.168333000152728,101,KMRX,KNOXVILLE,NEXRAD,Unknown
-113.986100999724655,47.041110999748987,102,KMSX,MISSOULA (RDA 1),NEXRAD,Unknown
-112.447768999823452,41.262778000270089,103,KMTX,SALT LAKE CITY (RDA 1),NEXRAD,Unknown
-121.898435000027348,37.155222000038187,104,KMUX,SAN FRANCISCO,NEXRAD,Unknown
-97.324990000355342,47.528055999937841,105,KMVX,FARGO/GRAND FORKS,NEXRAD,Unknown
-85.789740999938687,32.536649999905926,106,KMXX,MAXWELL AFB,NEXRAD,Unknown
-117.041936000189423,32.918889000133589,107,KNKX,SAN DIEGO,NEXRAD,Unknown
-89.873324000189612,35.344721999906831,108,KNQA,MEMPHIS,NEXRAD,Unknown
-96.366796000006545,41.320277999754616,109,KOAX,OMAHA,NEXRAD,Unknown
-86.562490999844357,36.247221999969085,110,KOHX,NASHVILLE,NEXRAD,Unknown
-72.863908000288077,40.865527999673262,111,KOKX,BROOKHAVEN,NEXRAD,Unknown
-117.625823000002455,47.680555999991071,112,KOTX,SPOKANE,NEXRAD,Unknown
-88.771934999698345,37.068333000275921,113,KPAH,PADUCAH,NEXRAD,Unknown
-80.217935000108525,40.531667000330067,114,KPBZ,PITTSBURGH,NEXRAD,Unknown
-118.85290699963798,45.690556000291913,115,KPDT,PENDLETON,NEXRAD,Unknown
-92.97582500013911,31.155278000072478,116,KPOE,FT POLK,NEXRAD,Unknown
-104.181379999635865,38.459443999904281,117,KPUX,PUEBLO,NEXRAD,Unknown
-78.489991999927099,35.66527799983389,118,KRAX,RALEIGH/DURHAM,NEXRAD,Unknown
-119.462018999852944,39.754055999948577,119,KRGX,RENO (RDA 1),NEXRAD,Unknown
-108.477289999692175,43.066111000090473,120,KRIW,RIVERTON/LANDER,NEXRAD,Unknown
-81.72276900003304,38.31111099972604,121,KRLX,"CHARLESTON, WV",NEXRAD,Unknown
-122.964990000000228,45.714999999736449,122,KRTX,"PORTLAND, OR",NEXRAD,Unknown
-112.686122999746729,43.105600000225436,123,KSFX,POCATELLO,NEXRAD,Unknown
-93.400268999687597,37.235277999920449,124,KSGF,SPRINGFIELD,NEXRAD,Unknown
-93.841241999565597,32.450832999722174,125,KSHV,SHREVEPORT,NEXRAD,Unknown
-100.492214000281379,31.371110999980889,126,KSJT,SAN ANGELO,NEXRAD,Unknown
-117.635991000160686,33.817732999876782,127,KSOX,SANTA ANA MTS,NEXRAD,Unknown
-94.361880000036066,35.290416999964272,128,KSRX,WESTERN ARKANSAS,NEXRAD,Unknown
-82.401936000000731,27.705277999985217,129,KTBW,TAMPA,NEXRAD,Unknown
-111.385267999709768,47.459721999723932,130,KTFX,GREAT FALLS,NEXRAD,Unknown
-84.328881000120703,30.39750000007696,131,KTLH,TALLAHASSEE,NEXRAD,Unknown
-97.277753000235009,35.333055999734661,132,KTLX,NORMAN,NEXRAD,Unknown
-96.23249100010527,38.996944000316489,133,KTWX,TOPEKA,NEXRAD,Unknown
-75.679989999640341,43.755832999685637,134,KTYX,FT DRUM,NEXRAD,Unknown
-102.829990000202898,44.124722000282333,135,KUDX,RAPID CITY,NEXRAD,Unknown
-98.441934999959258,40.32083300008307,136,KUEX,GRAND ISLAND,NEXRAD,Unknown
-83.001798000124396,30.890278000118055,137,KVAX,MOODY AFB,NEXRAD,Unknown
-120.397909000405249,34.838549999735648,138,KVBX,VANDENBERG AFB,NEXRAD,Unknown
-98.127490999626886,36.740833000041007,139,KVNX,VANCE AFB,NEXRAD,Unknown
-119.178602000051967,34.411666999662934,140,KVTX,LOS ANGELES,NEXRAD,Unknown
-87.724519000315738,38.260250000211094,141,KVWX,"EVANSVILLE, IN (NON-NEXRAD)",NEXRAD,Unknown
-114.656686000321073,32.495278000094345,142,KYUX,YUMA (RDA 1),NEXRAD,Unknown
-135.529153999791987,56.85277800007507,143,PACG,SITKA FAA (RDA 1),NEXRAD,Unknown
-165.294984000338644,64.511389000098504,144,PAEC,NOME FAA (RDA 1),NEXRAD,Unknown
-151.349153000419932,60.726388999966247,145,PAHG,ANCHORAGE FAA (RDA 1),NEXRAD,Unknown
-146.301096999664708,59.461943999962969,146,PAIH,MIDDLETON ISLAND (RDA 1),NEXRAD,Unknown
-156.629431000357727,58.679444000056755,147,PAKC,KING SALMON FAA (RDA 1),NEXRAD,Unknown
-147.499151000357813,65.035556000100016,148,PAPD,FAIRBANKS FAA (RDA 1),NEXRAD,Unknown
144.811118000317549,13.45583299993349,149,PGUA,ANDERSEN AFB,NEXRAD,Unknown
-159.552491999659935,21.893889000238538,150,PHKI,SOUTH KAUAI FAA (RDA 1),NEXRAD,Unknown
-155.777770999719934,20.125277999748203,151,PHKM,KAMUELA/KOHALA APT (RDA 1),NEXRAD,Unknown
-157.180269999557567,21.132777999837156,152,PHMO,MOLOKAI FAA (RDA 1),NEXRAD,Unknown
-155.568881000005632,19.095000000089357,153,PHWA,SOUTH SHORE FAA (RDA 1),NEXRAD,Unknown
-66.078158999667906,18.115667000422945,154,TJUA,SAN JUAN FAA (RDA 1),NEXRAD,Unknown
-77.487491000284137,38.976110999659269,155,KLWX,STERLING,NEXRAD,Unknown
-161.87637500035035,60.791943999929721,156,PABC,BETHEL FAA (RDA 1),NEXRAD,Unknown
-76.844999999918187,38.694999999878235,157,TADW,Andrews Air Force Base,TDWR,346
-84.261999999795023,33.647000000017655,158,TATL,Atlanta,TDWR,1075
-86.661999999760383,35.979999999726154,159,TBNA,Nashville,TDWR,817
-70.932999999647194,42.157999999669492,160,TBOS,Boston,TDWR,264
-76.630000000102839,39.09000000004071,161,TBWI,Baltimore/Wash,TDWR,297
-80.88499999987485,35.337000000027935,162,TCLT,Charlotte,TDWR,871
-82.715000000308819,40.006000000257401,163,TCMH,"Columbus, OH",TDWR,1148
-84.580000000044208,38.897999999663192,164,TCVG,Covington,TDWR,1053
-96.967999999621341,32.926000000019307,165,TDAL,Dallas Love Field,TDWR,622
-84.122999999977068,40.022000000304779,166,TDAY,Dayton,TDWR,1019
-76.961999999713242,38.759000000274874,167,TDCA,Washington National,TDWR,345
-104.526000000379867,39.728000000011924,168,TDEN,Denver,TDWR,5701
-96.917999999977653,33.06500000012003,169,TDFW,Dallas/Ft. Worth,TDWR,585
-83.514999999997826,42.111000000273464,170,TDTW,Detroit,TDWR,772
-74.269999999852416,40.592999999984599,171,TEWR,Newark,TDWR,136
-80.344000000046961,26.142999999752291,172,TFLL,Fort Lauderdale,TDWR,120
-95.241999999703907,29.516000000244745,173,THOU,Houston Hobby,TDWR,117
-77.528999999894836,39.084000000008345,174,TIAD,Dulles,TDWR,473
-95.566999999633708,30.065000000238744,175,TIAH,Houston International,TDWR,253
-97.436999999782643,37.50700000034022,176,TICH,Witchita,TDWR,1351
-86.435999999933571,39.637000000276515,177,TIDS,Indianapolis,TDWR,847
-73.881000000019355,40.589000000084042,178,TJFK,New York City,TDWR,112
-115.007000000341222,36.144000000126155,179,TLAS,Las Vegas,TDWR,2058
-82.008000000226573,41.290000000039086,180,TLVE,"Cleveland, OH",TDWR,931
-94.741999999673681,39.498000000125941,181,TMCI,Kansas City,TDWR,1090
-81.32600000041532,28.344000000104252,182,TMCO,Orlando International,TDWR,169
-87.730000000054886,41.651000000091067,183,TMDW,Chicago Midway,TDWR,763
-89.993000000367701,34.895999999977207,184,TMEM,Memphis,TDWR,483
-80.490999999628258,25.758000000247467,185,TMIA,Miami,TDWR,125
-88.046000000138648,42.818999999816924,186,TMKE,Milwaukee,TDWR,933
-92.933000000078209,44.870999999861667,187,TMSP,Minneapolis,TDWR,1121
-90.403000000140935,30.021999999655236,188,TMSY,New Orleans,TDWR,99
-97.510000000430239,35.276000000113001,189,TOKC,Oklahoma City,TDWR,1308
-87.857999999861406,41.796999999693668,190,TORD,Chicago O'Hare,TDWR,744
-80.272999999564774,26.687999999839292,191,TPBI,West Palm Beach,TDWR,133
-75.06900000035705,39.948999999767516,192,TPHL,Philadelphia,TDWR,153
-112.162999999587285,33.420999999745774,193,TPHX,Phoenix,TDWR,1089
-80.486000000113037,40.501000000050475,194,TPIT,Pittsburgh,TDWR,1386
-78.697000000375041,36.001999999638699,195,TRDU,Raleigh Durham,TDWR,515
-85.609999999890846,38.046000000090416,196,TSDF,"Louisville, KY",TDWR,731
-66.178999999927669,18.473999999803123,197,TSJU,San Juan,TDWR,157
-111.930000000079858,40.966999999884692,198,TSLC,Salt Lake City,TDWR,4295
-90.48900000006708,38.804999999909889,199,TSTL,St. Louis,TDWR,647
-82.518000000185509,27.860000000282149,200,TTPA,Tampa Bay,TDWR,93
-95.826999999577552,36.07099999979706,201,TTUL,Tulsa,TDWR,823
